date,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,temperature_2m_previous_day3,temperature_2m_previous_day4,temperature_2m_previous_day5,wind_speed_10m,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,wind_speed_10m_previous_day3,wind_speed_10m_previous_day4,wind_speed_10m_previous_day5,wind_speed_10m_previous_day6,wind_speed_10m_previous_day7,rain,rain_previous_day1,rain_previous_day2,rain_previous_day3,rain_previous_day4,rain_previous_day5,rain_previous_day6,rain_previous_day7
2025-05-23 00:00:00,10.4805,10.2305,9.6935,9.3435,10.1935,11.054,5.11656,4.89653,7.38658,7.1458,3.6,4.55368,7.42159,13.7226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 01:00:00,9.9305,9.7305,8.9435,8.5935,9.4935,10.454,4.10463,3.894,4.02492,2.81169,3.07584,4.02492,6.48999,13.3589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 02:00:00,9.5305,9.3805,8.5435,7.8935,8.7435,9.954,1.8,1.13842,2.54558,3.25994,2.52,3.24,5.5887,13.0497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 03:00:00,8.9805,8.9805,7.8435,7.2935,8.2435,9.654,1.83565,3.25994,2.90241,2.62084,2.27684,2.52,5.50694,13.1831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 04:00:00,8.7305,8.6805,7.4935,6.7935,7.8935,9.404,2.74168,3.67129,1.83565,2.52,1.60997,2.27684,5.80483,13.7556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 05:00:00,8.7305,8.6305,7.2935,6.6935,7.7935,9.304,2.18979,4.45295,1.8,2.41495,1.01823,2.54558,6.48999,14.5299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 06:00:00,9.1805,9.2805,8.3435,8.2935,8.2935,9.704,0.804985,3.31904,0.804985,1.52735,0.804985,3.09684,7.23591,12.4812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 07:00:00,10.3805,10.5305,10.4435,10.5935,9.6935,10.854,2.09914,3.07584,2.41495,2.81169,1.48432,3.0547,8.31124,11.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 08:00:00,11.9305,11.9805,12.6935,12.4935,11.6935,12.504,5.15442,4.21369,2.90241,5.19199,2.18979,3.21994,10.0026,10.8837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 09:00:00,13.5805,13.7805,14.5435,14.4935,13.4435,14.004,7.17295,8.5571,6.13058,5.86038,3.67129,2.74168,11.3842,10.2963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 10:00:00,14.8805,15.3305,15.8435,15.9435,14.7435,15.204,10.1057,10.594,9.34614,7.86252,5.50694,1.8,11.3842,9.72666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 11:00:00,16.0805,16.3805,16.9435,16.8935,15.8435,16.204,10.4462,12.0748,10.4957,11.2525,7.77133,4.8433,10.9903,9.44957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 12:00:00,17.0805,17.1805,18.9435,17.6435,16.1935,17.204,9.02875,11.8418,12.2612,8.65499,11.0901,10.44,4.73506,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 13:00:00,18.0305,17.4305,20.1935,17.8935,16.9935,18.104,10.5388,12.7584,14.7775,11.0901,11.2698,11.52,3.87732,20.7461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 14:00:00,18.4305,18.3305,20.3435,18.2435,17.5935,18.804,8.85483,11.5929,14.9346,11.3042,11.1774,12.24,3.56382,17.9351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 15:00:00,19.2305,19.5805,20.4435,18.9935,17.9435,18.904,11.2985,13.7556,13.2761,10.08,11.2121,12.682,3.75851,15.9135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 16:00:00,18.2305,19.9305,21.3435,19.3435,18.0935,18.104,15.4842,12.1443,13.6278,11.16,10.1057,13.9055,5.24168,14.9042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 17:00:00,18.0805,17.3805,21.0435,19.4435,18.0435,16.754,15.3792,17.4961,13.4411,10.1057,8.70724,15.9135,8.28782,14.6896,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 18:00:00,17.1805,16.5305,18.2935,19.0935,15.9935,15.454,16.642,19.5861,19.0936,8.37339,16.18,17.8264,10.2331,14.4045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 19:00:00,16.4805,15.7805,16.1935,16.4435,15.0435,14.404,15.282,15.8564,17.1482,17.31,16.4894,17.1482,10.2963,13.1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2025-05-23 20:00:00,15.4805,15.2305,14.8935,14.9435,14.0435,13.504,14.7732,16.5639,15.3074,12.8192,15.8564,15.6962,9.02157,13.5515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2025-05-23 21:00:00,14.4805,14.4305,14.0435,14.0435,13.2435,12.754,13.0447,13.7462,13.6088,10.8837,15.0728,13.9799,8.69979,14.9042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2025-05-23 22:00:00,14.1805,14.0805,13.4435,13.3935,12.7435,12.304,12.2612,12.0318,11.5929,10.2331,13.8307,12.98,9.51109,15.4087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2025-05-23 23:00:00,13.8305,13.7305,12.9435,12.7935,12.3935,12.104,11.9886,11.7539,10.5142,9.68661,11.8855,12.3873,11.0198,15.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2025-05-23 05:00:00,8.7305,8.6305,7.2935,6.6935,7.7935,9.304,2.18979,4.45295,1.8,2.41495,1.01823,2.54558,6.48999,14.5299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 06:00:00,9.1805,9.2805,8.3435,8.2935,8.2935,9.704,0.804985,3.31904,0.804985,1.52735,0.804985,3.09684,7.23591,12.4812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 07:00:00,10.3805,10.5305,10.4435,10.5935,9.6935,10.854,2.09914,3.07584,2.41495,2.81169,1.48432,3.0547,8.31124,11.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 08:00:00,11.9305,11.9805,12.6935,12.4935,11.6935,12.504,5.15442,4.21369,2.90241,5.19199,2.18979,3.21994,10.0026,10.8837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 09:00:00,13.5805,13.7805,14.5435,14.4935,13.4435,14.004,7.17295,8.5571,6.13058,5.86038,3.67129,2.74168,11.3842,10.2963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 10:00:00,14.8805,15.3305,15.8435,15.9435,14.7435,15.204,10.1057,10.594,9.34614,7.86252,5.50694,1.8,11.3842,9.72666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 11:00:00,16.0805,16.3805,16.9435,16.8935,15.8435,16.204,10.4462,12.0748,10.4957,11.2525,7.77133,4.8433,10.9903,9.44957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 12:00:00,17.0805,17.1805,18.9435,17.6435,16.1935,17.204,9.02875,11.8418,12.2612,8.65499,11.0901,10.44,4.73506,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 13:00:00,18.0305,17.4305,20.1935,17.8935,16.9935,18.104,10.5388,12.7584,14.7775,11.0901,11.2698,11.52,3.87732,20.7461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 14:00:00,18.4305,18.3305,20.3435,18.2435,17.5935,18.804,8.85483,11.5929,14.9346,11.3042,11.1774,12.24,3.56382,17.9351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 15:00:00,19.2305,19.5805,20.4435,18.9935,17.9435,18.904,11.2985,13.7556,13.2761,10.08,11.2121,12.682,3.75851,15.9135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 16:00:00,18.2305,19.9305,21.3435,19.3435,18.0935,18.104,15.4842,12.1443,13.6278,11.16,10.1057,13.9055,5.24168,14.9042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 17:00:00,18.0805,17.3805,21.0435,19.4435,18.0435,16.754,15.3792,17.4961,13.4411,10.1057,8.70724,15.9135,8.28782,14.6896,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 18:00:00,17.1805,16.5305,18.2935,19.0935,15.9935,15.454,16.642,19.5861,19.0936,8.37339,16.18,17.8264,10.2331,14.4045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23 19:00:00,16.4805,15.7805,16.1935,16.4435,15.0435,14.404,15.282,15.8564,17.1482,17.31,16.4894,17.1482,10.2963,13.1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2025-05-23 20:00:00,15.4805,15.2305,14.8935,14.9435,14.0435,13.504,14.7732,16.5639,15.3074,12.8192,15.8564,15.6962,9.02157,13.5515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2025-05-23 21:00:00,14.4805,14.4305,14.0435,14.0435,13.2435,12.754,13.0447,13.7462,13.6088,10.8837,15.0728,13.9799,8.69979,14.9042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2025-05-23 22:00:00,14.1805,14.0805,13.4435,13.3935,12.7435,12.304,12.2612,12.0318,11.5929,10.2331,13.8307,12.98,9.51109,15.4087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2025-05-23 23:00:00,13.8305,13.7305,12.9435,12.7935,12.3935,12.104,11.9886,11.7539,10.5142,9.68661,11.8855,12.3873,11.0198,15.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
